landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng,image_url
Empire State Realty Trust,1400 Broadway,1400 Broadway,"Full Floor space; Full floor; available Immediate. At 1400 Broadway, 1400 Broadway.",Office,Entire,13932,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/1400-broadway-33-floor-ste-3300/,2026-07-21T02:38:01Z,,40.752961,-73.986759,https://esrtreit.bynder.com/asset/bf03d4dd-0e0b-4795-b7ba-c8678e4bb2d3/thumbnail/webimage-1400-3300
Empire State Realty Trust,1359 Broadway,1359 Broadway,"Whitebox space; Full floor; available Immediate. At 1359 Broadway, 1359 Broadway.",Office,Entire,24212,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/1359-broadway-07-floor-ste-700/,2026-07-21T02:38:01Z,,40.751895,-73.988002,https://esrtreit.bynder.com/m/3b7a6eaeff73a641/webimage-1359-700.png
Empire State Realty Trust,1350 Broadway,1350 Broadway,"Prebuilt space; available 12-01-2026. At 1350 Broadway, 1350 Broadway.",Office,Suite 2400,5503,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/1350-broadway-24-floor-ste-2400/,2026-07-21T02:38:01Z,,40.750946,-73.987325,https://www.esrtreit.com/wp-content/uploads/20180821_ESR_1350Broadway_001-scaled.jpg
Empire State Realty Trust,1333 Broadway,1333 Broadway,"Prebuilt space; available Immediate. At 1333 Broadway, 1333 Broadway.",Office,Suite 310,20340,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/1333-broadway-03-floor-ste-310/,2026-07-21T02:38:01Z,,40.751186,-73.988203,https://esrtreit.bynder.com/m/7df65e333bea071e/webimage-1333-310.png
Empire State Realty Trust,1333 Broadway,1333 Broadway,"Whitebox space; Full floor; available Immediate. At 1333 Broadway, 1333 Broadway.",Office,Entire,29622,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/1333-broadway-3-floor-ste-300p/,2026-07-21T02:38:01Z,,40.751186,-73.988203,https://esrtreit.bynder.com/m/5e7f71082c8b8b/webimage-1333-300P.png
Empire State Realty Trust,Empire State Building,350 Fifth Avenue,"Whitebox space; available Immediate. At Empire State Building, 350 Fifth Avenue.",Office,Suite 112,3417,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/empire-state-building-01-floor-ste-112/,2026-07-21T02:38:01Z,,40.748441,-73.985656,https://esrtreit.bynder.com/m/121ce5051b035d55/webimage-esb-112.png
Empire State Realty Trust,Empire State Building,641 SF,"Existing Installation space; available Immediate. At Empire State Building, 641 SF.",Office,Suite 131,641,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/empire-state-building-01-floor-ste-131/,2026-07-21T02:38:01Z,,40.67437,-73.86448,https://esrtreit.bynder.com/m/52d144660e33a1da/webimage-esb-131.png
Empire State Realty Trust,Empire State Building,350 Fifth Avenue,"space; available Immediate. At Empire State Building, 350 Fifth Avenue.",Office,Suite C05,6262,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/empire-state-building-co-floor-ste-c05/,2026-07-21T02:38:01Z,,40.748441,-73.985656,https://esrtreit.bynder.com/m/3c4ec2ecfe20cc2b/webimage-esb-C05.png
Empire State Realty Trust,501 Seventh Avenue,501 Seventh Avenue,"space; available Immediate. At 501 Seventh Avenue, 501 Seventh Avenue.",Office,Suite 104,3131,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/501-seventh-avenue-01-floor-ste-104/,2026-07-21T02:38:01Z,,40.752866,-73.988554,https://esrtreit.bynder.com/m/15d3863895cd5639/webimage-501-104.png
Empire State Realty Trust,501 Seventh Avenue,501 Seventh Avenue,"PIO space; available Immediate. At 501 Seventh Avenue, 501 Seventh Avenue.",Office,Suite 111,2048,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/501-seventh-avenue-01-floor-ste-111/,2026-07-21T02:38:01Z,,40.752866,-73.988554,https://esrtreit.bynder.com/m/a2460bbfa197bbdb/webimage-501-Seventh-Avenue-Amenities-VTS-TN.png
Empire State Realty Trust,10 Union Square East,10 Union Square East,"Existing Installation space; available Immediate. At 10 Union Square East, 10 Union Square East.",Office,Suite 104,1182,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/10-union-square-east-01-floor-ste-104/,2026-07-21T02:38:01Z,,40.73467,-73.989158,https://esrtreit.bynder.com/m/333b5bb77fb2d446/webimage-10usret-104.png
Empire State Realty Trust,10 Union Square East,10 Union Square East,"Whitebox space; available Immediate. At 10 Union Square East, 10 Union Square East.",Office,Suite 109,4705,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/10-union-square-east-01-floor-ste-109/,2026-07-21T02:38:01Z,,40.73467,-73.989158,https://esrtreit.bynder.com/m/62ba2ee855633cb8/webimage-10us-109.png
Empire State Realty Trust,10 Union Square East,10 Union Square East,"Whitebox space; available Immediate. At 10 Union Square East, 10 Union Square East.",Office,Suite 109A,1866,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/10-union-square-east-01-floor-ste-109a/,2026-07-21T02:38:01Z,,40.73467,-73.989158,https://esrtreit.bynder.com/m/392479a158aa24df/webimage-10usret-109a.png
Empire State Realty Trust,41-55 North 6th Street,41-55 North 6th Street,"Whitebox space; available Immediate. At 41-55 North 6th Street, .",Office,Suite 101,2598,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/41-55-north-6th-street-1-floor-ste-101/,2026-07-21T02:38:01Z,,,,https://esrtreit.bynder.com/m/716bfce10b9ee16/webimage-41n6-101.png
Empire State Realty Trust,41-55 North 6th Street,981 SF,"Whitebox space; available Immediate. At 41-55 North 6th Street, 981 SF.",Office,Suite 102,981,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/41-55-north-6th-street-1-floor-ste-102/,2026-07-21T02:38:01Z,,40.67422,-73.87254,https://esrtreit.bynder.com/m/5cb2186409a89ba/webimage-41n6-102.png
Empire State Realty Trust,41-55 North 6th Street,41-55 North 6th Street,"Whitebox space; available Immediate. At 41-55 North 6th Street, .",Office,Suite 103,2823,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/41-55-north-6th-street-1-floor-ste-103/,2026-07-21T02:38:01Z,,,,https://esrtreit.bynder.com/m/2976991afcfab6cf/webimage-41n6-103.png
Empire State Realty Trust,86-90 North 6th Street,86-90 North 6th Street,"space; available Immediate. At 86-90 North 6th Street, .",Office,Suite 100A,4443,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/86-90-north-6th-street-1-floor-ste-100-2/,2026-07-21T02:38:01Z,,,,https://esrtreit.bynder.com/m/b7461baadd8c06e2/webimage-86n6ret-100A.png
Empire State Realty Trust,86-90 North 6th Street,86-90 North 6th Street,"space; available Immediate. At 86-90 North 6th Street, .",Office,Suite C110,2849,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/86-90-north-6th-street-c-floor-ste-c110/,2026-07-21T02:38:01Z,,,,https://esrtreit.bynder.com/m/6cc1416ce287cc50/webimage-86n6ret-C110.png
